playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SlugPct,OBP,BABIP,salary
biggicr01,2005,HOU,155,590,94,156,40,1,26,69,11,1,37,90,2,17,4,3,10,0.264,0.468,0.325,0.273,3000000
biggicr01,2006,HOU,145,548,79,135,33,0,21,62,3,2,40,84,1,9,5,5,16,0.246,0.422,0.306,0.254,4000000
biggicr01,2007,HOU,141,517,68,130,31,3,10,50,4,3,23,112,0,3,7,5,5,0.251,0.381,0.285,0.3,5150000
billich01,2010,LAN,31,62,1,9,1,0,0,3,0,0,4,27,0,0,6,0,0,0.145,0.161,0.197,0.257,3850000
billich01,2011,LAN,30,56,4,9,3,0,1,4,0,0,4,23,0,0,5,0,0,0.161,0.268,0.217,0.25,6275000
billich01,2012,LAN,25,42,1,8,1,0,0,2,0,0,0,18,0,0,5,1,0,0.19,0.214,0.186,0.32,9000000
blakeca01,2005,CLE,147,523,72,126,32,1,23,58,4,5,43,116,3,10,2,5,9,0.241,0.438,0.308,0.265,2250000
blakeca01,2006,CLE,109,401,63,113,20,1,19,68,6,0,45,93,5,4,1,5,11,0.282,0.479,0.356,0.32,3050000
blakeca01,2007,CLE,156,588,81,159,36,4,18,78,4,5,54,123,2,10,5,5,14,0.27,0.437,0.339,0.312,3750000
blakeca01,2008,CLE,94,325,46,94,24,0,11,58,2,0,33,68,6,7,1,2,3,0.289,0.465,0.365,0.335,6100000
blakeca01,2009,LAN,139,485,84,136,25,6,18,79,3,4,63,116,8,6,1,10,12,0.28,0.468,0.363,0.327,5000000
blakeca01,2010,LAN,146,509,56,126,28,1,17,64,0,4,48,138,3,8,3,3,8,0.248,0.407,0.32,0.305,6250000
blakeca01,2011,LAN,63,202,32,51,10,1,4,26,1,2,26,50,1,3,5,3,9,0.252,0.371,0.342,0.311,5500000
blaloha01,2004,TEX,159,624,107,172,38,3,32,110,2,2,75,149,7,6,0,8,13,0.276,0.5,0.355,0.31,550000
blaloha01,2005,TEX,161,647,80,170,34,0,25,92,1,0,51,132,1,3,0,4,16,0.263,0.431,0.318,0.294,850000
blaloha01,2006,TEX,152,591,76,157,26,3,16,89,1,0,51,98,6,2,0,2,15,0.266,0.401,0.325,0.294,3050000
blaloha01,2007,TEX,58,208,32,61,16,3,10,33,4,1,21,38,1,1,0,2,8,0.293,0.543,0.358,0.315,4800000
blaloha01,2008,TEX,65,258,37,74,19,1,12,38,1,0,19,40,3,2,0,2,10,0.287,0.508,0.338,0.298,6000000
blaloha01,2009,TEX,123,462,62,108,21,4,25,66,2,0,26,108,2,3,0,4,6,0.234,0.459,0.277,0.249,6200000
blancan01,2010,TEX,68,166,17,46,10,1,0,13,0,2,11,24,1,3,3,2,0,0.277,0.349,0.33,0.319,510000
blancan01,2011,TEX,36,76,9,17,3,0,2,3,0,1,4,14,0,0,2,0,1,0.224,0.342,0.262,0.25,520000
blancgr01,2012,SFN,141,393,56,96,14,5,5,34,26,6,51,104,2,2,5,2,0,0.244,0.344,0.333,0.318,516000
blancgr01,2013,SFN,141,452,50,120,17,6,3,41,14,9,52,95,4,1,3,3,10,0.265,0.35,0.341,0.328,1350000
blanche01,2001,MIL,104,314,33,66,18,3,6,31,3,1,34,72,6,2,5,2,10,0.21,0.344,0.29,0.252,712500
